Title,Address,Headline Room Type,Cost (AUD),Review Score,# of Reviews
Cool Air Austral with AC,Austral,Double Room,105,8.3,16
Amazing Air Austral with AC and built-in wardrobe,Austral,Double Room with Shared Bathroom,105,10,2
X Room,Dundas Valley,Double Room,106,N/A,N/A
ibis Newcastle,Newcastle,Standard Queen Room,106,6.6,2464
Parkes Country Cabins,Parkes,Budget Double Room,106,7.4,206
Katoomba Mountain Lodge,Katoomba,Standard Double Room,107,6.5,193
Beautiful Air Austral with AC and built-in wardrobe,Austral,Double Room with Shared Bathroom,108,8.1,9
The Station Hotel,Jindabyne,Family Room,108,7.4,787
Big Backpackers Hostel,"Sydney CBD, Sydney",Bed in 8-Bed Female Dormitory Room with Shared Bathroom (ages 18-40 years only),108,7.7,1984
Windsor Terrace Motel,Windsor,Standard Double Room,108,6.1,597
"Cloud9 retreat, Central Superb location",Bankstown,One-Bedroom Apartment,108,9.7,3
Elegant Castlehill Stay,Castle Hill,Double Room,108,4.5,2
Ivanhoe Hotel Motel,Ivanhoe,Queen Room,108,6.1,99
Oriental Hotel Tumut,Tumut,Budget Double Room,109,7.1,149
Castlereagh Hotel,Dubbo,Standard Twin Room with Shared Bathroom,109,6.2,367
Doonside Hotel,Doonside,Standard Twin Room with Shared Bathroom,109,6.3,722
Colonial Inn Motel,Tamworth,Queen Room,109,5.5,471
Commercial Hotel Bega,Bega,Double Room with Shared Bathroom,109,6.0,51
Commercial Motel,Hay,Standard Twin Room - Pet Friendly,109,6.5,2498
"Quiet, private studio 1 double bed and extra matress",Mount Pritchard,Queen Studio,109,7.3,8
ibis budget Sydney Airport,"Mascot, Sydney",Standard Queen Room,110,6.9,17553
The Family Hotel,Maitland,Small Double Room,110,7.5,418
Townhouse Motel Cowra,Cowra,Budget Double Room,110,7.5,1048
Bajimba Eco Camp & Farm Stay,Sandy Flat,Tent,110,N/A,N/A
Melville House Bed and Breakfast,Lismore,Budget Double Room,110,9.1,705
Fig Tree Motel,Narrandera,Economy Double Room,110,7.5,412
The Bolt Inn,Uralla,Double Room,110,8.0,207
Coachman Hotel Motel,Parkes,Double Room,110,7.8,1139
Kandos Hotel,Kandos,Standard Twin Room,110,8.1,120
Silver Oaks Motel,Gilgandra,Deluxe Queen Room,110,8.2,672
Pioneer Tourist Park,Deniliquin,Double Room with Private External Bathroom,110,7.4,271
Wagon Wheel Motel & Units,Coonabarabran,Budget Double or Twin Room,110,7.8,720
Cooee Motel,Gilgandra,Queen Room with Garden View,110,8.0,3
Lake Munmorah Motel,Lake Munmorah,Standard Queen Room,110,7.7,414
THE FED AND BED TEMORA,Temora,Family Room,110,7.2,49
Manning River Motel,Taree,Twin Room,110,7.6,73
Courthouse Hotel Boorowa,Boorowa,Double Room with Shared Bathroom,110,8.5,6
Ulladulla Harbour Motel,Ulladulla,Budget Room with Shared Bathroom,110,7.8,641
Batemans Bay Holiday Park & Hostel,Batemans Bay,Double Caravan,110,7.9,402
The Flat on Ordnance,Lithgow,One-Bedroom Apartment,110,7.8,21
The Riverine Club,Wagga Wagga,Double Room with Shared Bathroom,110,N/A,N/A
Outback Quarters Motel Hay and Restaurant,Hay,Deluxe Double Room,110,7.1,231
Grafton Hotel,Grafton,Double Room with Shared Bathroom,110,6.8,50
The Commercial Hotel Wallerawang,Wallerawang,Standard Double Room with Shared Bathroom,110,7.4,112
Tates Hotel Windsor,Windsor,Queen Room with Shared Bathroom,110,5.9,196
Royal Hotel Yass,Yass,Queen Room with Shared Bathroom,110,6.2,19
NRMA Batemans Bay Resort,Batemans Bay,Studio Room - No Ensuite,110,8.4,393
Delightful Austral Stay with AC and built-in wardrobe,Austral,Double Room,110,8.6,5
